LUAS TANAM,LUAS PANEN,PRODUKTIVITAS,PRODUKSI
345,450,6,1699
826,920,6,3452
93,108,4,256
737,825,6,3544
2380,2674,5,14520
754,790,6,4213
61,96,4,58
6854,7136,6,43173
2175,2366,6,14338
743,872,4,2802
271,344,7,1714
400,547,6,1563
59,67,4,160
926,970,6,5561
248,320,6,1850
520,745,6,4102
31,63,4,252
474,501,6,3033
2769,3414,5,11633
698,773,6,4481
28,34,4,96
8153,9652,6,56754
5122,5601,6,29280
945,1002,5,4345
331,520,6,1423
342,465,6,2143
36,53,4,234
854,903,6,5301
659,736,6,1996
811,957,5,4003
65,75,4,260
718,778,6,4326
4261,5865,5,19555
766,877,6,4973
6,16,4,67
6368,6551,6,38297
3904,4483,5,19088
1536,1610,5,7555
670,736,7,4150
363,391,6,1959
25,39,5,93
738,823,6,4780
420,694,6,3900
449,697,5,3652
61,75,5,158
2728,2808,5,13457
2780,5180,5,26882
1055,1140,6,6384
19,24,4,59
5267,6287,6,31296
3302,3878,5,20941
1323,1390,6,7854
888,922,6,5616
261,343,6,2086
17,32,5,169
545,558,6,3133
206,230,5,1248
351,439,5,1255
50,57,4,253
1710,1862,5,10204
1005,2573,6,14796
936,977,6,5472
18,20,5,45
3225,4261,6,25013
1763,2297,5,12519
737,861,5,4728
720,881,6,5270
215,311,6,1258
3,4,5,20
648,683,6,3263
350,410,6,1755
840,930,6,3581
78,84,4,258
758,840,6,3754
253,270,6,3754
763,790,6,4413
17,20,4,62
6923,7236,6,44170
2320,2400,6,14423
650,680,4,2810
272,290,7,1813
400,550,6,1612
59,69,4,162
830,935,6,5610
250,315,6,1852
520,750,6,4103
32,65,4,255
460,512,6,3041
2301,2500,5,4920
30,35,4,98
8324,9721,6,58110
5150,5214,6,30120
950,960,5,4726
344,350,7,1540
350,368,6,2150
3,54,5,235
846,910,6,5110
670,740,6,2005
915,764,5,4112
20,29,5,112
67,68,4,95
1120,1780,6,4340
3270,3910,5,2010
782,885,6,4982
7,18,4,68
6412,6450,6,38320
3550,3802,6,19270
1612,1902,5,7620
680,690,7,4209
310,320,6,960
24,29,5,98
740,862,6,3920
425,698,6,3982
453,702,5,3724
65,78,5,159
2590,2750,5,13520
5270,5450,6,27150
1120,1340,6,6720
20,25,4,62
5421,5560,6,35210
3412,3920,6,24724
1423,1450,6,7920
920,950,6,5710
370,420,6,2150
17,32,5,170
560,570,6,3170
215,235,5,1290
455,540,5,1260
40,57,4,260
1810,1900,5,10310
1100,2670,6,14950
950,992,6,5674
10,12,5,48
3310,4350,6,25210
1810,2320,5,12610
760,925,5,4810
224,230,6,1270
3,4,5,25
670,890,6,3280
